Member_number,Date,productId,items,productName,price,Category,TotalPrice,Transactions_id
1808,2015-07-21,1,3,tropical fruit,7.8,Fresh Food,23.4,2987
2552,2015-01-05,2,1,whole milk,1.8,Dairy,1.8,5780
2300,2015-09-19,3,3,pip fruit,3.0,Fresh Food,9.0,4851
1187,2015-12-12,4,3,other vegetables,0.8,Fresh Food,2.4000000000000004,688
3037,2015-02-01,2,1,whole milk,1.8,Dairy,1.8,7585
4941,2015-02-14,5,1,rolls/buns,1.2,Bakery & Sweets,1.2,14767
4501,2015-05-08,4,3,other vegetables,0.8,Fresh Food,2.4000000000000004,13086
3803,2015-12-23,6,2,pot plants,3.5,Household & Hygiene,7.0,10456
2762,2015-03-20,2,3,whole milk,1.8,Dairy,5.4,6580
4119,2015-02-12,1,3,tropical fruit,7.8,Fresh Food,23.4,11596
1340,2015-02-24,7,3,citrus fruit,1.5,Fresh Food,4.5,1237
2193,2015-04-14,8,3,beef,19.5,Fresh Food,58.5,4448
1997,2015-07-21,9,1,frankfurter,5.5,Fresh Food,5.5,3707
4546,2015-09-03,10,3,chicken,7.2,Fresh Food,21.6,13261
4736,2015-07-21,11,2,butter,3.2,Dairy,6.4,14006
1959,2015-03-30,12,1,fruit/vegetable juice,2.1,Beverages,2.1,3583
1974,2015-05-03,13,2,packaged fruit/vegetables,3.5,Fresh Food,7.0,3633
2421,2015-09-02,14,2,chocolate,11.5,Bakery & Sweets,23.0,5281
1513,2015-08-03,15,2,specialty bar,5.2,Bakery & Sweets,10.4,1888
1905,2015-07-07,4,2,other vegetables,0.8,Fresh Food,1.6,3365
2810,2015-09-08,16,1,butter milk,6.1,Dairy,6.1,6767
2867,2015-11-12,2,1,whole milk,1.8,Dairy,1.8,6967
3962,2015-09-18,1,2,tropical fruit,7.8,Fresh Food,15.6,11049
1088,2015-11-30,1,2,tropical fruit,7.8,Fresh Food,15.6,319
4976,2015-07-17,17,1,bottled water,0.5,Beverages,0.5,14893
4056,2015-06-12,18,1,yogurt,2.2,Dairy,2.2,11355
3611,2015-02-13,19,1,sausage,3.1,Fresh Food,3.1,9731
1420,2015-01-14,4,3,other vegetables,0.8,Fresh Food,2.4000000000000004,1525
4286,2015-03-08,20,3,brown bread,0.8,Bakery & Sweets,2.4000000000000004,12263
4918,2015-01-27,18,3,yogurt,2.2,Dairy,6.6000000000000005,14678
4783,2015-10-22,21,2,hamburger meat,12.3,Fresh Food,24.6,14186
3709,2015-10-26,22,3,root vegetables,1.8,Fresh Food,5.4,10091
4289,2015-10-08,23,2,pork,7.2,Fresh Food,14.4,12275
1559,2015-10-03,8,2,beef,19.5,Fresh Food,39.0,2032
2900,2015-04-11,24,3,pastry,3.1,Bakery & Sweets,9.3,7076
1905,2015-02-21,12,2,fruit/vegetable juice,2.1,Beverages,4.2,3368
3527,2015-09-29,25,3,canned beer,1.1,Beverages,3.3000000000000003,9399
1495,2015-01-09,22,3,root vegetables,1.8,Fresh Food,5.4,1820
3558,2015-04-03,7,1,citrus fruit,1.5,Fresh Food,1.5,9516
3128,2015-04-20,19,3,sausage,3.1,Fresh Food,9.3,7936
1863,2015-08-04,1,1,tropical fruit,7.8,Fresh Food,7.8,3193
3841,2015-07-19,26,3,berries,10.8,Fresh Food,32.400000000000006,10593
3903,2015-10-06,25,3,canned beer,1.1,Beverages,3.3000000000000003,10819
2658,2015-10-16,16,1,butter milk,6.1,Dairy,6.1,6175
4272,2015-06-06,27,1,coffee,8.5,Beverages,8.5,12207
1120,2015-09-26,24,3,pastry,3.1,Bakery & Sweets,9.3,442
2676,2015-08-15,5,2,rolls/buns,1.2,Bakery & Sweets,2.4,6244
1697,2015-05-21,28,1,misc. beverages,1.2,Beverages,1.2,2551
2507,2015-08-25,22,2,root vegetables,1.8,Fresh Food,3.6,5595
4620,2015-03-11,19,2,sausage,3.1,Fresh Food,6.2,13530
3365,2015-02-01,25,2,canned beer,1.1,Beverages,2.2,8803
2978,2015-06-05,29,1,ham,15.2,Fresh Food,15.2,7369
2910,2015-07-28,30,2,turkey,12.5,Fresh Food,25.0,7119
1061,2015-09-05,2,1,whole milk,1.8,Dairy,1.8,222
3276,2015-04-03,2,2,whole milk,1.8,Dairy,3.6,8472
1326,2015-06-19,13,3,packaged fruit/vegetables,3.5,Fresh Food,10.5,1180
3023,2015-07-28,5,3,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,7532
2185,2015-10-11,29,1,ham,15.2,Fresh Food,15.2,4418
3552,2015-06-16,5,3,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,9496
1967,2015-01-20,4,3,other vegetables,0.8,Fresh Food,2.4000000000000004,3611
4708,2015-03-20,19,2,sausage,3.1,Fresh Food,6.2,13902
2874,2015-02-15,19,1,sausage,3.1,Fresh Food,3.1,7003
4177,2015-04-13,9,2,frankfurter,5.5,Fresh Food,11.0,11825
