Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
3,7,375.31,4,4,4,444,12,STARS
91,11,361.45,3,4,4,344,11,LOYAL
26,10,345.1,4,4,4,444,12,STARS
4,10,334.15,4,4,4,444,12,STARS
142,7,312.46,2,4,4,244,10,LOYAL
310,6,305.72,1,4,4,144,9,LOYAL
140,9,303.61,3,4,4,344,11,LOYAL
37,10,301.33,4,4,4,444,12,STARS
52,6,301.1,4,4,4,444,12,STARS
239,6,296.96,2,4,4,244,10,LOYAL
31,6,290.74,4,4,4,444,12,STARS
57,6,289.4,4,4,4,444,12,STARS
31,9,285.6,4,4,4,444,12,STARS
46,8,284.9,4,4,4,444,12,STARS
179,6,284.89,2,4,4,244,10,LOYAL
380,9,284.8,1,4,4,144,9,LOYAL
88,7,279.99,3,4,4,344,11,LOYAL
58,9,277.9,3,4,4,344,11,LOYAL
105,9,277.4,3,4,4,344,11,LOYAL
96,5,277.35,3,3,4,334,10,REGULARS
50,7,277.18,4,4,4,444,12,STARS
64,10,271.9,3,4,4,344,11,LOYAL
22,5,271.8,4,3,4,434,11,REGULARS
57,10,268.8,4,4,4,444,12,STARS
48,7,267.62,4,4,4,444,12,STARS
4,7,267.4,4,4,4,444,12,STARS
112,7,267.32,3,4,4,344,11,LOYAL
91,7,265.7,3,4,4,344,11,LOYAL
47,7,263.65,4,4,4,444,12,STARS
20,7,262.4,4,4,4,444,12,STARS
154,6,261.55,2,4,4,244,10,LOYAL
33,7,260.94,4,4,4,444,12,STARS
88,8,260.9,3,4,4,344,11,LOYAL
161,6,260.7,2,4,4,244,10,LOYAL
112,8,257.54,3,4,4,344,11,LOYAL
18,9,256.25,4,4,4,444,12,STARS
49,5,256.0,4,3,4,434,11,REGULARS
98,9,254.8,3,4,4,344,11,LOYAL
55,7,254.7,4,4,4,444,12,STARS
4,9,254.04,4,4,4,444,12,STARS
92,8,253.55,3,4,4,344,11,LOYAL
73,9,253.51,3,4,4,344,11,LOYAL
46,6,253.12,4,4,4,444,12,STARS
19,8,252.6,4,4,4,444,12,STARS
72,10,251.45,3,4,4,344,11,LOYAL
65,8,249.6,3,4,4,344,11,LOYAL
4,7,248.12,4,4,4,444,12,STARS
229,7,248.11,2,4,4,244,10,LOYAL
51,9,247.84,4,4,4,444,12,STARS
98,9,247.8,3,4,4,344,11,LOYAL
5,9,245.36,4,4,4,444,12,STARS
95,8,245.1,3,4,4,344,11,LOYAL
52,7,244.5,4,4,4,444,12,STARS
80,6,244.34,3,4,4,344,11,LOYAL
207,9,244.0,2,4,4,244,10,LOYAL
7,10,243.5,4,4,4,444,12,STARS
42,10,243.06,4,4,4,444,12,STARS
11,9,242.84,4,4,4,444,12,STARS
47,5,242.0,4,3,4,434,11,REGULARS
23,8,241.86,4,4,4,444,12,STARS
40,11,241.8,4,4,4,444,12,STARS
45,7,241.7,4,4,4,444,12,STARS
24,5,241.6,4,3,4,434,11,REGULARS
161,9,240.5,2,4,4,244,10,LOYAL
124,8,240.15,3,4,4,344,11,LOYAL
84,7,239.91,3,4,4,344,11,LOYAL
80,11,239.75,3,4,4,344,11,LOYAL
150,6,237.4,2,4,4,244,10,LOYAL
26,7,237.2,4,4,4,444,12,STARS
92,7,236.4,3,4,4,344,11,LOYAL
97,7,236.3,3,4,4,344,11,LOYAL
123,3,236.0,3,2,4,324,9,REGULARS
25,10,235.45,4,4,4,444,12,STARS
324,6,235.4,1,4,4,144,9,LOYAL
100,6,235.11,3,4,4,344,11,LOYAL
16,6,234.79,4,4,4,444,12,STARS
20,6,234.0,4,4,4,444,12,STARS
191,6,232.92,2,4,4,244,10,LOYAL
60,3,232.7,3,2,4,324,9,REGULARS
13,7,231.44,4,4,4,444,12,STARS
13,6,230.0,4,4,4,444,12,STARS
